                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       3600                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       3700                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       3900                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4000                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4200                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4400                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4500                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4600                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4700                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       4900                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5000                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5100                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5200                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5400                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5500                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5600                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5700                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       5900                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
     CAMPANA ÓPTIMA BÁSICA CENTRAL                       6000                                    24                       24000            1400                                         24        24000          1800                     24      24000          2200                                                         
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
                                                                                                                                                                                                                                                                                                                              
     CAMPANA ÓPTIMA INTEGRAL MURAL                       1000                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       1200                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       1500                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       1700                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                                                         
