                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
     CAMPANA PREMIUM BÁSICA CENTRAL                      5600                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
     CAMPANA PREMIUM BÁSICA CENTRAL                      5700                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
     CAMPANA PREMIUM BÁSICA CENTRAL                      5900                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
     CAMPANA PREMIUM BÁSICA CENTRAL                      6000                                    24                       24000            1400                                         24        24000          1800                     24      24000          2200                      24         24000         2500      
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                     N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                  N.º FILTROS    M3/H         FONDO      
                                                                                                                                                                                                                                                                                                                              
     CAMPANA PREMIUM INTEGRAL MURAL                      1000                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                       2         2000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      1200                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                       2         2000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      1500                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                       3         3000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      1700                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                       3         3000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2000                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2200                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2400                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2500                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2700                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      2900                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3000                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3200                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3400                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3500                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3600                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3700                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      3900                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4000                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4200                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4400                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4500                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4600                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4700                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      4900                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5000                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5100                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5200                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5400                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5500                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5600                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5700                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      5900                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
     CAMPANA PREMIUM INTEGRAL MURAL                      6000                                    12                       12000             800                                         12        12000          1000                     12      12000          1200                      12         12000         1400      
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                     N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                  N.º FILTROS    M3/H         FONDO      
                                                                                                                                                                                                                                                                                                                              
    CAMPANA PREMIUM INTEGRAL CENTRAL                     1200                                     4                        4000            1400                                          4        4000           1800                     4        4000          2200                       4         4000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     1500                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                       6         6000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     1700                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                       6         6000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2000                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2200                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2400                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2500                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2700                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     2900                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3000                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3200                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3400                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3500                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3600                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3700                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     3900                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4000                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4200                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4400                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4500                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4600                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4700                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     4900                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5000                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5100                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5200                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5400                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5500                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5600                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5700                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     5900                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
    CAMPANA PREMIUM INTEGRAL CENTRAL                     6000                                    24                       24000            1400                                         24        24000          1800                     24      24000          2200                      24         24000         2500      
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                     N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                  N.º FILTROS    M3/H         FONDO      
                                                                                                                                                                                                                                                                                                                              
    CAMPANA PREMIUM COMPENSADA MURAL                     1200                                     2                        2000             800                                          2        2000           1000                     2        2000          1200                       2         2000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     1500                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                       3         3000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     1700                                     3                        3000             800                                          3        3000           1000                     3        3000          1200                       3         3000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2000                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2200                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2400                                     4                        4000             800                                          4        4000           1000                     4        4000          1200                       4         4000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2500                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2700                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     2900                                     5                        5000             800                                          5        5000           1000                     5        5000          1200                       5         5000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3000                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3200                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3400                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3500                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3600                                     6                        6000             800                                          6        6000           1000                     6        6000          1200                       6         6000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3700                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     3900                                     7                        7000             800                                          7        7000           1000                     7        7000          1200                       7         7000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4000                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4200                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4400                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4500                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4600                                     8                        8000             800                                          8        8000           1000                     8        8000          1200                       8         8000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4700                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     4900                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5000                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5100                                     9                        9000             800                                          9        9000           1000                     9        9000          1200                       9         9000          1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5200                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5400                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5500                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5600                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                      10         10000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5700                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     5900                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                      11         11000         1400      
    CAMPANA PREMIUM COMPENSADA MURAL                     6000                                    12                       12000             800                                         12        12000          1000                     12      12000          1200                      12         12000         1400      
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H           FONDO                                     N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                  N.º FILTROS    M3/H         FONDO      
                                                                                                                                                                                                                                                                                                                              
   CAMPANA PREMIUM COMPENSADA CENTRAL                    1200                                     4                        4000            1400                                          4        4000           1800                     4        4000          2200                       4         4000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    1500                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                       6         6000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    1700                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                       6         6000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2000                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2200                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2400                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                       8         8000          2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2500                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2700                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    2900                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                      10         10000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3000                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3200                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3400                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3500                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3600                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                      12         12000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3700                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    3900                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                      14         14000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4000                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4200                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4400                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4500                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4600                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                      16         16000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4700                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    4900                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    5000                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    5100                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                      18         18000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    5200                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    5400                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                      20         20000         2500      
   CAMPANA PREMIUM COMPENSADA CENTRAL                    5500                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                      22         22000         2500      
