"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16"
"","3700","14","CEOPBC3714","3543.99","","","CEOPBC3718","3844.87","","","CEOPBC3722","4219.29","","","",""
"","3900","14","CEOPBC3914","3600.35","","","CEOPBC3918","3909.73","","","CEOPBC3922","4295.47","","","",""
"","4000","16","CEOPBC4014","3769.15","","","CEOPBC4018","4095.19","","","CEOPBC4022","4483.42","","","",""
"","4200","16","CEOPBC4214","3825.51","","","CEOPBC4218","4160.04","","","CEOPBC4222","4559.61","","","",""
"","4400","16","CEOPBC4414","3881.88","","","CEOPBC4418","4224.9","","","CEOPBC4422","4635.8","","","",""
"","4500","18","CEOPBC4514","4066.28","","","CEOPBC4518","4424.59","","","CEOPBC4522","4835.83","","","",""
"","4600","16","CEOPBC4614","4445.18","","","CEOPBC4618","4854.51","","","CEOPBC4622","5259.67","","","",""
"","4700","18","CEOPBC4714","4122.64","","","CEOPBC4718","4489.45","","","CEOPBC4722","4912.02","","","",""
"","4900","18","CEOPBC4914","4672.65","","","CEOPBC4918","5100.21","","","CEOPBC4922","5533.26","","","",""
"","5000","20","CEOPBC5014","4363.41","","","CEOPBC5018","4754","","","CEOPBC5022","5188.23","","","",""
"","5100","18","CEOPBC5114","4798.78","","","CEOPBC5118","5246.42","","","CEOPBC5122","5685.51","","","",""
"","5200","20","CEOPBC5214","4895.5","","","CEOPBC5218","5355.15","","","CEOPBC5222","5787.94","","","",""
"","5400","20","CEOPBC5414","5023.94","","","CEOPBC5418","5496.74","","","CEOPBC5422","5949.64","","","",""
"","5500","22","CEOPBC5514","5122.98","","","CEOPBC5518","5600.84","","","CEOPBC5522","6061.53","","","",""
"","5600","20","CEOPBC5614","5080.3","","","CEOPBC5618","5561.59","","","CEOPBC5622","6025.83","","","",""
"","5700","22","CEOPBC5714","5249.1","","","CEOPBC5718","5747.05","","","CEOPBC5722","6213.78","","","",""
"","5900","22","CEOPBC5914","5235.7","","","CEOPBC5918","5730.55","","","CEOPBC5922","6213.91","","","",""
"","6000","24","CEOPBC6014","5474.26","","","CEOPBC6018","5997.37","","","CEOPBC6022","6477.92","","","",""
"","","","","","","","","","","","","","","","",""
"CAMPANA ÓPTIMA INTEGRAL MURAL","ANCHO","","FONDO 800","","","","FONDO 1000","","","","FONDO 1200","","","","",""
"","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"","1000","2","CEOPIM1080","915.88","","","CEOPIM1010","986.52","","","CEOPIM1012","1073.17","","","",""
"","1200","2","CEOPIM1280","1004.51","","","CEOPIM1210","1079.02","","","CEOPIM1212","1173.86","","","",""
"","1500","3","CEOPIM1580","1156.51","","","CEOPIM1510","1234.55","","","CEOPIM1512","1348.91","","","",""
"","1700","3","CEOPIM1780","1257.06","","","CEOPIM1710","1341.82","","","CEOPIM1712","1462.52","","","",""
"","2000","4","CEOPIM2080","1416.45","","","CEOPIM2010","1508.09","","","CEOPIM2012","1641.4","","","",""
"","2200","4","CEOPIM2280","1492.43","","","CEOPIM2210","1586.84","","","CEOPIM2212","1727.29","","","",""
"","2400","4","CEOPIM2480","1837.25","","","CEOPIM2410","1952.24","","","CEOPIM2412","2110","","","",""
"","2500","5","CEOPIM2580","1646.85","","","CEOPIM2510","1747.15","","","CEOPIM2512","1899.44","","","",""
"","2700","5","CEOPIM2780","1989.25","","","CEOPIM2710","2107.76","","","CEOPIM2712","2285.05","","","",""
"","2900","5","CEOPIM2980","2089.79","","","CEOPIM2910","2215.03","","","CEOPIM2912","2398.66","","","",""
"","3000","6","CEOPIM3080","2141.24","","","CEOPIM3010","2263.29","","","CEOPIM3012","2460.11","","","",""
"","3200","6","CEOPIM3280","2241.79","","","CEOPIM3210","2370.56","","","CEOPIM3212","2573.72","","","",""
"","3400","6","CEOPIM3480","2342.34","","","CEOPIM3410","2477.83","","","CEOPIM3412","2687.33","","","",""
"","3500","7","CEOPIM3580","2401.18","","","CEOPIM3510","2536.84","","","CEOPIM3512","2752.6","","","",""
"","3600","6","CEOPIM3680","2669.98","","","CEOPIM3610","2825.45","","","CEOPIM3612","3046.13","","","",""
"","3700","7","CEOPIM3780","2501.73","","","CEOPIM3710","2644.1","","","CEOPIM3712","2866.21","","","",""
"","3900","7","CEOPIM3980","2577.71","","","CEOPIM3910","2722.85","","","CEOPIM3912","2952.1","","","",""
"","4000","8","CEOPIM4080","2661.12","","","CEOPIM4010","2810.38","","","CEOPIM4012","3045.08","","","",""
"","4200","8","CEOPIM4280","2737.1","","","CEOPIM4210","2889.13","","","CEOPIM4212","3130.97","","","",""
"","4400","8","CEOPIM4480","2813.08","","","CEOPIM4410","2967.88","","","CEOPIM4412","3216.86","","","",""
"","4500","9","CEOPIM4580","2891.52","","","CEOPIM4510","3049.44","","","CEOPIM4512","3303.12","","","",""
"","4600","8","CEOPIM4680","3175.07","","","CEOPIM4610","3351.04","","","CEOPIM4612","3623.47","","","",""
"","4700","9","CEOPIM4780","2967.5","","","CEOPIM4710","3128.19","","","CEOPIM4712","3389.01","","","",""
"","4900","9","CEOPIM4980","3327.07","","","CEOPIM4910","3506.57","","","CEOPIM4912","3798.52","","","",""
"","5000","10","CEOPIM5080","3121.92","","","CEOPIM5010","3288.49","","","CEOPIM5012","3561.16","","","",""
"","5100","9","CEOPIM5180","3427.62","","","CEOPIM5110","3613.84","","","CEOPIM5112","3912.13","","","",""
"","5200","10","CEOPIM5280","3493.85","","","CEOPIM5210","3683.6","","","CEOPIM5212","3981.22","","","",""
"","5400","10","CEOPIM5480","3587.01","","","CEOPIM5410","3780.11","","","CEOPIM5412","4091.01","","","",""
"","5500","11","CEOPIM5580","3645.85","","","CEOPIM5510","3839.12","","","CEOPIM5512","4156.28","","","",""
"","5600","10","CEOPIM5680","3662.99","","","CEOPIM5610","3858.86","","","CEOPIM5612","4176.9","","","",""
