																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	4400	16	CEOPBC4414	3.881,88 €			CEOPBC4418	4.224,90 €			CEOPBC4422	4.635,80 €				
	4500	18	CEOPBC4514	4.066,28 €			CEOPBC4518	4.424,59 €			CEOPBC4522	4.835,83 €				
	4600	16	CEOPBC4614	4.445,18 €			CEOPBC4618	4.854,51 €			CEOPBC4622	5.259,67 €				
	4700	18	CEOPBC4714	4.122,64 €			CEOPBC4718	4.489,45 €			CEOPBC4722	4.912,02 €				
	4900	18	CEOPBC4914	4.672,65 €			CEOPBC4918	5.100,21 €			CEOPBC4922	5.533,26 €				
	5000	20	CEOPBC5014	4.363,41 €			CEOPBC5018	4.754,00 €			CEOPBC5022	5.188,23 €				
	5100	18	CEOPBC5114	4.798,78 €			CEOPBC5118	5.246,42 €			CEOPBC5122	5.685,51 €				
	5200	20	CEOPBC5214	4.895,50 €			CEOPBC5218	5.355,15 €			CEOPBC5222	5.787,94 €				
	5400	20	CEOPBC5414	5.023,94 €			CEOPBC5418	5.496,74 €			CEOPBC5422	5.949,64 €				
	5500	22	CEOPBC5514	5.122,98 €			CEOPBC5518	5.600,84 €			CEOPBC5522	6.061,53 €				
	5600	20	CEOPBC5614	5.080,30 €			CEOPBC5618	5.561,59 €			CEOPBC5622	6.025,83 €				
	5700	22	CEOPBC5714	5.249,10 €			CEOPBC5718	5.747,05 €			CEOPBC5722	6.213,78 €				
	5900	22	CEOPBC5914	5.235,70 €			CEOPBC5918	5.730,55 €			CEOPBC5922	6.213,91 €				
	6000	24	CEOPBC6014	5.474,26 €			CEOPBC6018	5.997,37 €			CEOPBC6022	6.477,92 €				
																
CAMPANA ÓPTIMA INTEGRAL MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	1000	2	CEOPIM1080	915,88 €			CEOPIM1010	986,52 €			CEOPIM1012	1.073,17 €				
	1200	2	CEOPIM1280	1.004,51 €			CEOPIM1210	1.079,02 €			CEOPIM1212	1.173,86 €				
	1500	3	CEOPIM1580	1.156,51 €			CEOPIM1510	1.234,55 €			CEOPIM1512	1.348,91 €				
	1700	3	CEOPIM1780	1.257,06 €			CEOPIM1710	1.341,82 €			CEOPIM1712	1.462,52 €				
	2000	4	CEOPIM2080	1.416,45 €			CEOPIM2010	1.508,09 €			CEOPIM2012	1.641,40 €				
	2200	4	CEOPIM2280	1.492,43 €			CEOPIM2210	1.586,84 €			CEOPIM2212	1.727,29 €				
	2400	4	CEOPIM2480	1.837,25 €			CEOPIM2410	1.952,24 €			CEOPIM2412	2.110,00 €				
	2500	5	CEOPIM2580	1.646,85 €			CEOPIM2510	1.747,15 €			CEOPIM2512	1.899,44 €				
	2700	5	CEOPIM2780	1.989,25 €			CEOPIM2710	2.107,76 €			CEOPIM2712	2.285,05 €				
	2900	5	CEOPIM2980	2.089,79 €			CEOPIM2910	2.215,03 €			CEOPIM2912	2.398,66 €				
	3000	6	CEOPIM3080	2.141,24 €			CEOPIM3010	2.263,29 €			CEOPIM3012	2.460,11 €				
	3200	6	CEOPIM3280	2.241,79 €			CEOPIM3210	2.370,56 €			CEOPIM3212	2.573,72 €				
	3400	6	CEOPIM3480	2.342,34 €			CEOPIM3410	2.477,83 €			CEOPIM3412	2.687,33 €				
	3500	7	CEOPIM3580	2.401,18 €			CEOPIM3510	2.536,84 €			CEOPIM3512	2.752,60 €				
	3600	6	CEOPIM3680	2.669,98 €			CEOPIM3610	2.825,45 €			CEOPIM3612	3.046,13 €				
	3700	7	CEOPIM3780	2.501,73 €			CEOPIM3710	2.644,10 €			CEOPIM3712	2.866,21 €				
	3900	7	CEOPIM3980	2.577,71 €			CEOPIM3910	2.722,85 €			CEOPIM3912	2.952,10 €				
	4000	8	CEOPIM4080	2.661,12 €			CEOPIM4010	2.810,38 €			CEOPIM4012	3.045,08 €				
	4200	8	CEOPIM4280	2.737,10 €			CEOPIM4210	2.889,13 €			CEOPIM4212	3.130,97 €				
	4400	8	CEOPIM4480	2.813,08 €			CEOPIM4410	2.967,88 €			CEOPIM4412	3.216,86 €				
	4500	9	CEOPIM4580	2.891,52 €			CEOPIM4510	3.049,44 €			CEOPIM4512	3.303,12 €				
	4600	8	CEOPIM4680	3.175,07 €			CEOPIM4610	3.351,04 €			CEOPIM4612	3.623,47 €				
	4700	9	CEOPIM4780	2.967,50 €			CEOPIM4710	3.128,19 €			CEOPIM4712	3.389,01 €				
	4900	9	CEOPIM4980	3.327,07 €			CEOPIM4910	3.506,57 €			CEOPIM4912	3.798,52 €				
	5000	10	CEOPIM5080	3.121,92 €			CEOPIM5010	3.288,49 €			CEOPIM5012	3.561,16 €				
	5100	9	CEOPIM5180	3.427,62 €			CEOPIM5110	3.613,84 €			CEOPIM5112	3.912,13 €				
	5200	10	CEOPIM5280	3.493,85 €			CEOPIM5210	3.683,60 €			CEOPIM5212	3.981,22 €				
	5400	10	CEOPIM5480	3.587,01 €			CEOPIM5410	3.780,11 €			CEOPIM5412	4.091,01 €				
	5500	11	CEOPIM5580	3.645,85 €			CEOPIM5510	3.839,12 €			CEOPIM5512	4.156,28 €				
	5600	10	CEOPIM5680	3.662,99 €			CEOPIM5610	3.858,86 €			CEOPIM5612	4.176,90 €				
	5700	11	CEOPIM5780	3.746,40 €			CEOPIM5710	3.946,39 €			CEOPIM5712	4.269,89 €				
	5900	11	CEOPIM5980	3.797,81 €			CEOPIM5910	3.996,62 €			CEOPIM5912	4.328,06 €				
	6000	12	CEOPIM6080	3.905,79 €			CEOPIM6010	4.112,67 €			CEOPIM6012	4.448,77 €				
																
CAMPANA ÓPTIMA INTEGRAL CENTRAL	ANCHO		Fondo 1400				Fondo 1800				Fondo 2200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	1200	4	CEOPIC1214	1.816,92 €			CEOPIC1218	1.894,05 €			CEOPIC1222	2.145,54 €				
	1500	6	CEOPIC1514	2.131,47 €			CEOPIC1518	2.230,63 €			CEOPIC1522	2.508,40 €				
	1700	6	CEOPIC1714	2.289,17 €			CEOPIC1718	2.410,22 €			CEOPIC1722	2.693,47 €				
	2000	8	CEOPIC2014	2.618,64 €			CEOPIC2018	2.769,75 €			CEOPIC2022	3.063,77 €				
	2200	8	CEOPIC2214	2.678,09 €			CEOPIC2218	2.837,97 €			CEOPIC2222	3.143,98 €				
	2400	8	CEOPIC2414	3.257,83 €			CEOPIC2418	3.484,06 €			CEOPIC2422	3.773,10 €				
	2500	10	CEOPIC2514	3.012,51 €			CEOPIC2518	3.200,47 €			CEOPIC2522	3.515,54 €				
	2700	10	CEOPIC2714	3.572,39 €			CEOPIC2718	3.820,64 €			CEOPIC2722	4.135,96 €				
	2900	10	CEOPIC2914	3.730,08 €			CEOPIC2918	4.000,23 €			CEOPIC2922	4.321,03 €				
	3000	12	CEOPIC3014	3.886,94 €			CEOPIC3018	4.157,22 €			CEOPIC3022	4.498,83 €				
	3200	12	CEOPIC3214	4.044,64 €			CEOPIC3218	4.336,81 €			CEOPIC3222	4.683,90 €				
	3400	12	CEOPIC3414	4.202,33 €			CEOPIC3418	4.516,39 €			CEOPIC3422	4.868,96 €				
	3500	14	CEOPIC3514	4.374,11 €			CEOPIC3518	4.696,34 €			CEOPIC3522	5.054,20 €				
	3600	12	CEOPIC3614	4.698,74 €			CEOPIC3618	5.074,07 €			CEOPIC3622	5.400,66 €				
	3700	14	CEOPIC3714	4.531,81 €			CEOPIC3718	4.875,93 €			CEOPIC3722	5.239,26 €				
	3900	14	CEOPIC3914	4.591,25 €			CEOPIC3918	4.944,15 €			CEOPIC3922	5.319,48 €				
	4000	16	CEOPIC4014	4.861,28 €			CEOPIC4018	5.235,46 €			CEOPIC4022	5.609,57 €				
	4200	16	CEOPIC4214	4.920,72 €			CEOPIC4218	5.303,68 €			CEOPIC4222	5.689,78 €				
	4400	16	CEOPIC4414	4.980,17 €			CEOPIC4418	5.371,90 €			CEOPIC4422	5.769,99 €				
	4500	18	CEOPIC4514	5.255,15 €			CEOPIC4518	5.666,19 €			CEOPIC4522	6.061,34 €				
	4600	16	CEOPIC4614	5.643,25 €			CEOPIC4618	6.106,40 €			CEOPIC4622	6.496,52 €				
	4700	18	CEOPIC4714	5.314,59 €			CEOPIC4718	5.734,40 €			CEOPIC4722	6.141,55 €				
	4900	18	CEOPIC4914	5.957,80 €			CEOPIC4918	6.442,98 €			CEOPIC4922	6.859,39 €				
	5000	20	CEOPIC5014	5.649,01 €			CEOPIC5018	6.096,91 €			CEOPIC5022	6.513,11 €				
	5100	18	CEOPIC5114	6.115,50 €			CEOPIC5118	6.622,57 €			CEOPIC5122	7.044,45 €				
	5200	20	CEOPIC5214	6.302,19 €			CEOPIC5218	6.825,47 €			CEOPIC5222	7.237,13 €				
	5400	20	CEOPIC5414	6.444,97 €			CEOPIC5418	6.982,10 €			CEOPIC5422	7.414,76 €				
	5500	22	CEOPIC5514	6.616,75 €			CEOPIC5518	7.162,06 €			CEOPIC5522	7.600,00 €				
	5600	20	CEOPIC5614	6.504,41 €			CEOPIC5618	7.050,32 €			CEOPIC5622	7.494,97 €				
	5700	22	CEOPIC5714	6.774,44 €			CEOPIC5718	7.341,64 €			CEOPIC5722	7.785,06 €				
	5900	22	CEOPIC5914	6.735,63 €			CEOPIC5918	7.298,49 €			CEOPIC5922	7.760,42 €				
	6000	24	CEOPIC6014	7.103,91 €			CEOPIC6018	7.701,18 €			CEOPIC6022	8.155,36 €				
																
CAMPANA ÓPTIMA COMPENSADA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	1200	2	CEOPCM1280	1.544,94 €			CEOPCM1210	1.630,09 €			CEOPCM1212	1.702,26 €				
	1500	3	CEOPCM1580	1.733,69 €			CEOPCM1510	1.822,88 €			CEOPCM1512	1.912,88 €				
	1700	3	CEOPCM1780	1.920,31 €			CEOPCM1710	2.017,18 €			CEOPCM1712	2.110,23 €				
	2000	4	CEOPCM2080	2.154,52 €			CEOPCM2010	2.259,26 €			CEOPCM2012	2.361,37 €				
	2200	4	CEOPCM2280	2.276,05 €			CEOPCM2210	2.383,95 €			CEOPCM2212	2.491,46 €				
	2400	4	CEOPCM2480	2.734,49 €			CEOPCM2410	2.865,91 €			CEOPCM2412	2.982,74 €				
	2500	5	CEOPCM2580	2.504,58 €			CEOPCM2510	2.619,21 €			CEOPCM2512	2.735,06 €				
	2700	5	CEOPCM2780	2.923,24 €			CEOPCM2710	3.058,69 €			CEOPCM2712	3.193,36 €				
	2900	5	CEOPCM2980	3.109,86 €			CEOPCM2910	3.252,99 €			CEOPCM2912	3.390,71 €				
	3000	6	CEOPCM3080	3.112,00 €			CEOPCM3010	3.251,48 €			CEOPCM3012	3.403,99 €				
	3200	6	CEOPCM3280	3.298,61 €			CEOPCM3210	3.445,78 €			CEOPCM3212	3.601,33 €				
