																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
2 x 9/9 3/4 cv	2900	5	CEOPMM9342980	2.949,07 €			CEOPMM9342910	3.074,31 €			CEOPMM9342912	3.257,94 €				
10/10 1 cv T	2900	5	CEOPMM1012980	2.386,27 €			CEOPMM1012910	2.511,51 €			CEOPMM1012912	2.695,14 €				
2 x 9/9 1/2 cv	3000	6	CEOPMM9123080	2.932,36 €			CEOPMM9123010	3.054,40 €			CEOPMM9123012	3.251,22 €				
2 x 9/9 3/4 cv	3000	6	CEOPMM9343080	2.982,76 €			CEOPMM9343010	3.104,80 €			CEOPMM9343012	3.301,62 €				
10/10 1 cv T	3000	6	CEOPMM1013080	2.419,96 €			CEOPMM1013010	2.542,00 €			CEOPMM1013012	2.738,82 €				
2 x 9/9 1/2 cv	3200	6	CEOPMM9123280	3.020,68 €			CEOPMM9123210	3.149,45 €			CEOPMM9123212	3.352,61 €				
2 x 9/9 3/4 cv	3200	6	CEOPMM9343280	3.071,08 €			CEOPMM9343210	3.199,85 €			CEOPMM9343212	3.403,01 €				
2 x 9/9 1/2 cv	3400	6	CEOPMM9123480	3.109,01 €			CEOPMM9123410	3.244,49 €			CEOPMM9123412	3.454,00 €				
2 x 9/9 3/4 cv	3400	6	CEOPMM9343480	3.159,41 €			CEOPMM9343410	3.294,89 €			CEOPMM9343412	3.504,40 €				
2 x 9/9 1/2 cv	3500	7	CEOPMM9123580	3.150,13 €			CEOPMM9123510	3.285,78 €			CEOPMM9123512	3.501,54 €				
2 x 9/9 3/4 cv	3500	7	CEOPMM9343580	3.200,53 €			CEOPMM9343510	3.336,18 €			CEOPMM9343512	3.551,94 €				
2 x 9/9 1/2 cv	3600	6	CEOPMM9123680	3.409,01 €			CEOPMM9123610	3.564,49 €			CEOPMM9123612	3.785,17 €				
2 x 9/9 3/4 cv	3600	6	CEOPMM9343680	3.459,41 €			CEOPMM9343610	3.614,89 €			CEOPMM9343612	3.835,57 €				
2 x 9/9 1/2 cv	3700	7	CEOPMM9123780	3.238,45 €			CEOPMM9123710	3.380,83 €			CEOPMM9123712	3.602,93 €				
2 x 9/9 3/4 cv	3700	7	CEOPMM9343780	3.288,85 €			CEOPMM9343710	3.431,23 €			CEOPMM9343712	3.653,33 €				
2 x 9/9 1/2 cv	3900	7	CEOPMM9123980	3.304,73 €			CEOPMM9123910	3.449,87 €			CEOPMM9123912	3.679,12 €				
2 x 9/9 3/4 cv	3900	7	CEOPMM9343980	3.355,13 €			CEOPMM9343910	3.500,27 €			CEOPMM9343912	3.729,52 €				
2 x 9/9 1/2 cv	4000	8	CEOPMM9124080	3.367,90 €			CEOPMM9124010	3.517,16 €			CEOPMM9124012	3.751,86 €				
2 x 9/9 3/4 cv	4000	8	CEOPMM9344080	3.418,30 €			CEOPMM9344010	3.567,56 €			CEOPMM9344012	3.802,26 €				
																
CAMPANA ÓPTIMA MONOBLOCK CENTRAL	ANCHO		Fondo 1400				Fondo 1800				Fondo 2200					
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
10/10 1 T	1200	4	CEOPMC1011214	2.244,38 €			CEOPMC1011218	2.340,94 €			CEOPMC1011222	2.573,00 €				
10/10 1 T	1500	6	CEOPMC1011514	2.482,68 €			CEOPMC1011518	2.597,80 €			CEOPMC1011522	2.859,61 €				
10/10 1 T	1700	6	CEOPMC1011714	2.614,81 €			CEOPMC1011718	2.750,66 €			CEOPMC1011722	3.019,11 €				
10/10 1 T	2000	8	CEOPMC1012014	2.850,70 €			CEOPMC1012018	3.012,36 €			CEOPMC1012022	3.295,83 €				
10/10 1 T	2200	8	CEOPMC1012214	2.909,75 €			CEOPMC1012218	3.080,16 €			CEOPMC1012222	3.375,64 €				
10/10 1 T	2400	8	CEOPMC1012414	3.424,37 €			CEOPMC1012418	3.658,17 €			CEOPMC1012422	3.939,64 €				
10/10 1 T	2500	10	CEOPMC1012514	3.161,98 €			CEOPMC1012518	3.356,74 €			CEOPMC1012522	3.665,01 €				
10/10 1 T	2700	10	CEOPMC1012714	4.153,49 €			CEOPMC1012718	4.428,16 €			CEOPMC1012722	4.717,07 €				
2 x 10/10 1 T	2900	10	CEOPMC1012914	4.285,63 €			CEOPMC1012918	4.581,02 €			CEOPMC1012922	4.876,57 €				
2 x 10/10 1 T	3000	12	CEOPMC1013014	4.589,36 €			CEOPMC1013018	4.891,57 €			CEOPMC1013022	5.201,25 €				
2 x 10/10 1 T	3200	12	CEOPMC1013214	4.721,49 €			CEOPMC1013218	5.044,43 €			CEOPMC1013222	5.360,75 €				
2 x 10/10 1 T	3400	12	CEOPMC1013414	4.853,62 €			CEOPMC1013418	5.197,28 €			CEOPMC1013422	5.520,25 €				
2 x 10/10 1 T	3500	14	CEOPMC1013514	4.957,37 €			CEOPMC1013518	5.306,12 €			CEOPMC1013522	5.637,46 €				
2 x 10/10 1 T	3600	12	CEOPMC1013614	5.292,74 €			CEOPMC1013618	5.695,07 €			CEOPMC1013622	5.994,66 €				
2 x 10/10 1 T	3700	14	CEOPMC1013714	5.089,51 €			CEOPMC1013718	5.458,98 €			CEOPMC1013722	5.796,96 €				
2 x 10/10 1 T	3900	14	CEOPMC1013914	5.148,55 €			CEOPMC1013918	5.526,78 €			CEOPMC1013922	5.876,78 €				
2 x 10/10 1 T	4000	16	CEOPMC1014014	5.325,39 €			CEOPMC1014018	5.720,67 €			CEOPMC1014022	6.073,68 €				
																
CAMPANA ÓPTIMA MONOBLOCK 400º/2H	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
9/9 3/4 cv 400º/2h	1000	2	CEOPM4M1080	2.174,32 €			CEOPM4M1010	2.244,97 €			CEOPM4M1012	2.331,61 €				
9/9 3/4 cv 400º/2h	1200	2	CEOPM4M1280	2.252,25 €			CEOPM4M1210	2.326,76 €			CEOPM4M1212	2.421,59 €				
9/9 3/4 cv 400º/2h	1500	3	CEOPM4M1580	2.374,26 €			CEOPM4M1510	2.452,30 €			CEOPM4M1512	2.566,66 €				
9/9 3/4 cv 400º/2h	1700	3	CEOPM4M1780	2.462,59 €			CEOPM4M1710	2.547,34 €			CEOPM4M1712	2.668,05 €				
9/9 3/4 cv 400º/2h	2000	4	CEOPM4M2080	2.592,03 €			CEOPM4M2010	2.683,67 €			CEOPM4M2012	2.816,98 €				
9/9 3/4 cv 400º/2h	2200	4	CEOPM4M2280	2.658,31 €			CEOPM4M2210	2.752,72 €			CEOPM4M2212	2.893,17 €				
9/9 3/4 cv 400º/2h	2400	4	CEOPM4M2480	2.972,93 €			CEOPM4M2410	3.087,92 €			CEOPM4M2412	3.245,68 €				
9/9 3/4 cv 400º/2h	2500	5	CEOPM4M2580	2.787,28 €			CEOPM4M2510	2.887,57 €			CEOPM4M2512	3.039,87 €				
9/9 3/4 cv 400º/2h	2700	5	CEOPM4M2780	3.094,94 €			CEOPM4M2710	3.213,46 €			CEOPM4M2712	3.390,74 €				
9/9 3/4 cv 400º/2h	2900	5	CEOPM4M2980	3.183,26 €			CEOPM4M2910	3.308,50 €			CEOPM4M2912	3.492,13 €				
9/9 3/4 cv 400º/2h	3000	6	CEOPM4M3080	3.216,95 €			CEOPM4M3010	3.338,99 €			CEOPM4M3012	3.535,81 €				
2 x 9/9 3/4 cv 400º/2h	3200	6	CEOPM4M3280	4.665,07 €			CEOPM4M3210	4.793,83 €			CEOPM4M3212	4.996,99 €				
2 x 9/9 3/4 cv 400º/2h	3400	6	CEOPM4M3480	4.753,39 €			CEOPM4M3410	4.888,88 €			CEOPM4M3412	5.098,38 €				
2 x 9/9 3/4 cv 400º/2h	3500	7	CEOPM4M3580	4.794,51 €			CEOPM4M3510	4.930,16 €			CEOPM4M3512	5.145,92 €				
2 x 9/9 3/4 cv 400º/2h	3600	6	CEOPM4M3680	5.053,40 €			CEOPM4M3610	5.208,87 €			CEOPM4M3612	5.429,55 €				
2 x 9/9 3/4 cv 400º/2h	3700	7	CEOPM4M3780	4.882,84 €			CEOPM4M3710	5.025,21 €			CEOPM4M3712	5.247,31 €				
2 x 9/9 3/4 cv 400º/2h	3900	7	CEOPM4M3980	4.949,11 €			CEOPM4M3910	5.094,26 €			CEOPM4M3912	5.323,50 €				
2 x 9/9 3/4 cv 400º/2h	4000	8	CEOPM4M4080	5.012,28 €			CEOPM4M4010	5.161,54 €			CEOPM4M4012	5.396,24 €				
																
CAMPANA PREMIUM BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1000	2	CEPRBM1080	1.002,05 €			CEPRBM1010	1.083,37 €			CEPRBM1012	1.252,14 €			CEPRBM1014	1.369,23 €
	1200	2	CEPRBM1280	1.128,76 €			CEPRBM1210	1.201,89 €			CEPRBM1212	1.377,12 €			CEPRBM1214	1.497,08 €
	1500	3	CEPRBM1580	1.292,28 €			CEPRBM1510	1.400,38 €			CEPRBM1512	1.595,30 €			CEPRBM1514	1.743,52 €
	1700	3	CEPRBM1780	1.406,10 €			CEPRBM1710	1.464,75 €			CEPRBM1712	1.746,09 €			CEPRBM1714	1.897,50 €
	2000	4	CEPRBM2080	1.578,32 €			CEPRBM2010	1.732,04 €			CEPRBM2012	1.934,44 €			CEPRBM2014	2.112,85 €
	2200	4	CEPRBM2280	1.668,08 €			CEPRBM2210	1.817,74 €			CEPRBM2212	2.034,33 €			CEPRBM2214	2.205,90 €
	2400	4	CEPRBM2480	2.093,60 €			CEPRBM2410	2.241,24 €			CEPRBM2412	2.501,48 €			CEPRBM2414	2.692,72 €
	2500	5	CEPRBM2580	1.844,22 €			CEPRBM2510	2.003,58 €			CEPRBM2512	2.247,17 €			CEPRBM2514	2.425,06 €
	2700	5	CEPRBM2780	2.257,12 €			CEPRBM2710	2.439,73 €			CEPRBM2712	2.719,66 €			CEPRBM2714	2.939,17 €
	2900	5	CEPRBM2980	2.370,94 €			CEPRBM2910	2.504,10 €			CEPRBM2912	2.870,46 €			CEPRBM2914	3.093,15 €
	3000	6	CEPRBM3080	2.420,64 €			CEPRBM3010	2.638,22 €			CEPRBM3012	2.937,85 €			CEPRBM3014	3.185,61 €
	3200	6	CEPRBM3280	2.534,46 €			CEPRBM3210	2.702,59 €			CEPRBM3212	3.088,64 €			CEPRBM3214	3.339,59 €
	3400	6	CEPRBM3480	2.648,28 €			CEPRBM3410	2.766,96 €			CEPRBM3412	3.239,43 €			CEPRBM3414	3.493,57 €
	3500	7	CEPRBM3580	2.706,68 €			CEPRBM3510	2.969,87 €			CEPRBM3512	3.276,99 €			CEPRBM3514	3.554,94 €
	3600	6	CEPRBM3680	3.058,44 €			CEPRBM3610	3.280,59 €			CEPRBM3612	3.625,85 €			CEPRBM3614	3.888,37 €
	3700	7	CEPRBM3780	2.820,50 €			CEPRBM3710	3.034,25 €			CEPRBM3712	3.427,78 €			CEPRBM3714	3.708,92 €
	3900	7	CEPRBM3980	2.910,26 €			CEPRBM3910	3.119,94 €			CEPRBM3912	3.527,67 €			CEPRBM3914	3.801,97 €
	4000	8	CEPRBM4080	2.992,71 €			CEPRBM4010	3.301,53 €			CEPRBM4012	3.616,13 €			CEPRBM4014	3.924,27 €
	4200	8	CEPRBM4280	3.082,48 €			CEPRBM4210	3.387,23 €			CEPRBM4212	3.716,02 €			CEPRBM4214	4.017,32 €
	4400	8	CEPRBM4480	3.172,25 €			CEPRBM4410	3.472,93 €			CEPRBM4412	3.815,91 €			CEPRBM4414	4.110,37 €
	4500	9	CEPRBM4580	3.258,62 €			CEPRBM4510	3.573,07 €			CEPRBM4512	3.928,86 €			CEPRBM4514	4.236,48 €
	4600	8	CEPRBM4680	3.613,13 €			CEPRBM4610	3.806,30 €			CEPRBM4612	4.363,80 €			CEPRBM4614	4.689,22 €
	4700	9	CEPRBM4780	3.348,38 €			CEPRBM4710	3.658,77 €			CEPRBM4712	4.028,75 €			CEPRBM4714	4.329,53 €
	4900	9	CEPRBM4980	3.776,65 €			CEPRBM4910	4.004,79 €			CEPRBM4912	4.581,98 €			CEPRBM4914	4.935,66 €
	5000	10	CEPRBM5080	3.524,52 €			CEPRBM5010	3.844,60 €			CEPRBM5012	4.241,59 €			CEPRBM5014	4.548,69 €
	5100	9	CEPRBM5180	3.890,47 €			CEPRBM5110	4.069,16 €			CEPRBM5112	4.732,77 €			CEPRBM5114	5.089,64 €
	5200	10	CEPRBM5280	3.957,56 €			CEPRBM5210	4.340,88 €			CEPRBM5212	4.740,49 €			CEPRBM5214	5.119,91 €
	5400	10	CEPRBM5480	4.062,68 €			CEPRBM5410	4.336,45 €			CEPRBM5412	4.921,12 €			CEPRBM5414	5.304,99 €
	5500	11	CEPRBM5580	4.121,08 €			CEPRBM5510	4.539,37 €			CEPRBM5512	4.958,67 €			CEPRBM5514	5.366,36 €
	5600	10	CEPRBM5680	4.152,45 €			CEPRBM5610	4.422,15 €			CEPRBM5612	5.021,01 €			CEPRBM5614	5.398,04 €
	5700	11	CEPRBM5780	4.234,90 €			CEPRBM5710	4.603,74 €			CEPRBM5712	5.109,47 €			CEPRBM5714	5.520,34 €
	5900	11	CEPRBM5980	4.300,61 €			CEPRBM5910	4.710,77 €			CEPRBM5912	5.158,45 €			CEPRBM5914	5.552,46 €
	6000	12	CEPRBM6080	4.407,11 €			CEPRBM6010	4.871,03 €			CEPRBM6012	5.297,82 €			CEPRBM6014	5.735,68 €
																
CAMPANA PREMIUM BÁSICA CENTRAL	ANCHO		FONDO 1400				FONDO 1800				FONDO 2200				FONDO 2500	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	4	CEPRBC1214	1.966,15 €			CEPRBC1218	2.018,94 €			CEPRBC1222	2.411,87 €			CEPRBC1225	2.535,54 €
	1500	6	CEPRBC1514	2.276,25 €			CEPRBC1518	2.398,97 €			CEPRBC1522	2.831,29 €			CEPRBC1525	2.974,14 €
	1700	6	CEPRBC1714	2.452,16 €			CEPRBC1718	2.475,98 €			CEPRBC1722	3.081,15 €			CEPRBC1725	3.243,74 €
	2000	8	CEPRBC2014	2.762,06 €			CEPRBC2018	2.976,03 €			CEPRBC2022	3.423,32 €			CEPRBC2025	3.647,24 €
	2200	8	CEPRBC2214	2.863,59 €			CEPRBC2218	3.069,43 €			CEPRBC2222	3.545,09 €			CEPRBC2225	3.740,74 €
	2400	8	CEPRBC2414	3.573,34 €			CEPRBC2418	3.770,39 €			CEPRBC2422	4.308,77 €			CEPRBC2425	4.542,43 €
	2500	10	CEPRBC2514	3.198,28 €			CEPRBC2518	3.423,51 €			CEPRBC2522	3.953,19 €			CEPRBC2525	4.202,89 €
	2700	10	CEPRBC2714	3.883,43 €			CEPRBC2718	4.150,42 €			CEPRBC2722	4.728,19 €			CEPRBC2725	4.981,03 €
	2900	10	CEPRBC2914	4.059,35 €			CEPRBC2918	4.227,43 €			CEPRBC2922	4.978,05 €			CEPRBC2925	5.250,63 €
	3000	12	CEPRBC3014	4.193,53 €			CEPRBC3018	4.530,46 €			CEPRBC3022	5.147,62 €			CEPRBC3025	5.419,63 €
	3200	12	CEPRBC3214	4.369,45 €			CEPRBC3218	4.607,47 €			CEPRBC3222	5.397,47 €			CEPRBC3225	5.689,23 €
	3400	12	CEPRBC3414	4.545,36 €			CEPRBC3418	4.684,48 €			CEPRBC3422	5.647,33 €			CEPRBC3425	5.958,83 €
	3500	14	CEPRBC3514	4.679,35 €			CEPRBC3518	5.107,52 €			CEPRBC3522	5.739,64 €			CEPRBC3525	6.092,74 €
	3600	12	CEPRBC3614	5.180,52 €			CEPRBC3618	5.521,84 €			CEPRBC3622	6.205,67 €			CEPRBC3625	6.549,33 €
	3700	14	CEPRBC3714	4.855,26 €			CEPRBC3718	5.184,53 €			CEPRBC3722	5.989,50 €			CEPRBC3725	6.362,34 €
	3900	14	CEPRBC3914	4.956,79 €			CEPRBC3918	5.277,92 €			CEPRBC3922	6.111,27 €			CEPRBC3925	6.455,84 €
	4000	16	CEPRBC4014	5.165,16 €			CEPRBC4018	5.684,58 €			CEPRBC4022	6.331,66 €			CEPRBC4025	6.765,84 €
	4200	16	CEPRBC4214	5.266,69 €			CEPRBC4218	5.777,97 €			CEPRBC4222	6.453,44 €			CEPRBC4225	6.859,34 €
	4400	16	CEPRBC4414	5.368,22 €			CEPRBC4418	5.871,37 €			CEPRBC4422	6.575,22 €			CEPRBC4425	6.952,84 €
	4500	18	CEPRBC4514	5.601,38 €			CEPRBC4518	6.132,06 €			CEPRBC4522	6.861,53 €			CEPRBC4525	7.321,49 €
	4600	16	CEPRBC4614	6.152,54 €			CEPRBC4618	6.435,93 €			CEPRBC4622	7.544,23 €			CEPRBC4625	7.965,73 €
	4700	18	CEPRBC4714	5.702,91 €			CEPRBC4718	6.225,45 €			CEPRBC4722	6.983,31 €			CEPRBC4725	7.414,99 €
	4900	18	CEPRBC4914	6.462,64 €			CEPRBC4918	6.815,97 €			CEPRBC4922	7.963,66 €			CEPRBC4925	8.404,33 €
	5000	20	CEPRBC5014	6.037,59 €			CEPRBC5018	6.579,54 €			CEPRBC5022	7.391,40 €			CEPRBC5025	7.877,13 €
	5100	18	CEPRBC5114	6.638,56 €			CEPRBC5118	6.892,98 €			CEPRBC5122	8.213,51 €			CEPRBC5125	8.673,93 €
	5200	20	CEPRBC5214	6.772,35 €			CEPRBC5218	7.436,03 €			CEPRBC5222	8.228,57 €			CEPRBC5225	8.772,74 €
	5400	20	CEPRBC5414	6.948,46 €			CEPRBC5418	7.393,03 €			CEPRBC5422	8.555,68 €			CEPRBC5425	9.077,43 €
	5500	22	CEPRBC5514	7.082,44 €			CEPRBC5518	7.816,06 €			CEPRBC5522	8.647,99 €			CEPRBC5525	9.211,34 €
	5600	20	CEPRBC5614	7.049,99 €			CEPRBC5618	7.486,42 €			CEPRBC5622	8.677,46 €			CEPRBC5625	9.170,93 €
	5700	22	CEPRBC5714	7.258,36 €			CEPRBC5718	7.893,07 €			CEPRBC5722	8.897,85 €			CEPRBC5725	9.480,94 €
	5900	22	CEPRBC5914	7.285,50 €			CEPRBC5918	8.002,85 €			CEPRBC5922	8.891,54 €			CEPRBC5925	9.398,34 €
	6000	24	CEPRBC6014	7.568,26 €			CEPRBC6018	8.393,12 €			CEPRBC6022	9.240,01 €			CEPRBC6025	9.884,44 €
																
CAMPANA PREMIUM INTEGRAL MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1000	2	CEPRIM1080	1.105,81 €			CEPRIM1010	1.187,13 €			CEPRIM1012	1.355,90 €			CEPRIM1014	1.472,99 €
	1200	2	CEPRIM1280	1.243,48 €			CEPRIM1210	1.316,62 €			CEPRIM1212	1.491,84 €			CEPRIM1214	1.611,80 €
	1500	3	CEPRIM1580	1.437,71 €			CEPRIM1510	1.545,81 €			CEPRIM1512	1.740,73 €			CEPRIM1514	1.888,95 €
	1700	3	CEPRIM1780	1.564,04 €			CEPRIM1710	1.622,69 €			CEPRIM1712	1.904,03 €			CEPRIM1714	2.055,44 €
	2000	4	CEPRIM2080	1.766,91 €			CEPRIM2010	1.920,64 €			CEPRIM2012	2.123,04 €			CEPRIM2014	2.301,45 €
	2200	4	CEPRIM2280	1.866,61 €			CEPRIM2210	2.016,27 €			CEPRIM2212	2.232,86 €			CEPRIM2214	2.404,43 €
	2400	4	CEPRIM2480	2.323,05 €			CEPRIM2410	2.470,69 €			CEPRIM2412	2.730,93 €			CEPRIM2414	2.922,17 €
	2500	5	CEPRIM2580	2.068,81 €			CEPRIM2510	2.228,16 €			CEPRIM2512	2.471,76 €			CEPRIM2514	2.649,65 €
	2700	5	CEPRIM2780	2.517,27 €			CEPRIM2710	2.699,88 €			CEPRIM2712	2.979,81 €			CEPRIM2714	3.199,32 €
	2900	5	CEPRIM2980	2.643,61 €			CEPRIM2910	2.776,76 €			CEPRIM2912	3.143,12 €			CEPRIM2914	3.365,81 €
	3000	6	CEPRIM3080	2.711,49 €			CEPRIM3010	2.929,07 €			CEPRIM3012	3.228,70 €			CEPRIM3014	3.476,46 €
	3200	6	CEPRIM3280	2.837,83 €			CEPRIM3210	3.005,95 €			CEPRIM3212	3.392,00 €			CEPRIM3214	3.642,96 €
	3400	6	CEPRIM3480	2.964,16 €			CEPRIM3410	3.082,84 €			CEPRIM3412	3.555,31 €			CEPRIM3414	3.809,45 €
	3500	7	CEPRIM3580	3.040,70 €			CEPRIM3510	3.303,90 €			CEPRIM3512	3.611,01 €			CEPRIM3514	3.888,96 €
	3600	6	CEPRIM3680	3.402,62 €			CEPRIM3610	3.624,76 €			CEPRIM3612	3.970,02 €			CEPRIM3614	4.232,54 €
	3700	7	CEPRIM3780	3.167,04 €			CEPRIM3710	3.380,78 €			CEPRIM3712	3.774,32 €			CEPRIM3714	4.055,46 €
	3900	7	CEPRIM3980	3.266,73 €			CEPRIM3910	3.476,41 €			CEPRIM3912	3.884,14 €			CEPRIM3914	4.158,44 €
	4000	8	CEPRIM4080	3.369,91 €			CEPRIM4010	3.678,73 €			CEPRIM4012	3.993,32 €			CEPRIM4014	4.301,46 €
	4200	8	CEPRIM4280	3.469,61 €			CEPRIM4210	3.774,36 €			CEPRIM4212	4.103,15 €			CEPRIM4214	4.404,45 €
	4400	8	CEPRIM4480	3.569,31 €			CEPRIM4410	3.869,99 €			CEPRIM4412	4.212,97 €			CEPRIM4414	4.507,43 €
	4500	9	CEPRIM4580	3.671,80 €			CEPRIM4510	3.986,26 €			CEPRIM4512	4.342,04 €			CEPRIM4514	4.649,67 €
	4600	8	CEPRIM4680	4.043,73 €			CEPRIM4610	4.236,91 €			CEPRIM4612	4.794,40 €			CEPRIM4614	5.119,82 €
	4700	9	CEPRIM4780	3.771,50 €			CEPRIM4710	4.081,89 €			CEPRIM4712	4.451,87 €			CEPRIM4714	4.752,65 €
	4900	9	CEPRIM4980	4.237,95 €			CEPRIM4910	4.466,10 €			CEPRIM4912	5.043,28 €			CEPRIM4914	5.396,97 €
	5000	10	CEPRIM5080	3.973,70 €			CEPRIM5010	4.293,78 €			CEPRIM5012	4.690,76 €			CEPRIM5014	4.997,87 €
	5100	9	CEPRIM5180	4.364,29 €			CEPRIM5110	4.542,98 €			CEPRIM5112	5.206,59 €			CEPRIM5114	5.563,46 €
	5200	10	CEPRIM5280	4.449,48 €			CEPRIM5210	4.832,80 €			CEPRIM5212	5.232,41 €			CEPRIM5214	5.611,83 €
	5400	10	CEPRIM5480	4.567,16 €			CEPRIM5410	4.840,93 €			CEPRIM5412	5.425,60 €			CEPRIM5414	5.809,47 €
	5500	11	CEPRIM5580	4.643,70 €			CEPRIM5510	5.061,99 €			CEPRIM5512	5.481,30 €			CEPRIM5514	5.888,98 €
	5600	10	CEPRIM5680	4.666,86 €			CEPRIM5610	4.936,56 €			CEPRIM5612	5.535,42 €			CEPRIM5614	5.912,45 €
	5700	11	CEPRIM5780	4.770,03 €			CEPRIM5710	5.138,87 €			CEPRIM5712	5.644,60 €			CEPRIM5714	6.055,47 €
	5900	11	CEPRIM5980	4.843,10 €			CEPRIM5910	5.253,25 €			CEPRIM5912	5.700,94 €			CEPRIM5914	6.094,95 €
	6000	12	CEPRIM6080	4.972,91 €			CEPRIM6010	5.436,82 €			CEPRIM6012	5.863,61 €			CEPRIM6014	6.301,48 €
																
CAMPANA PREMIUM INTEGRAL CENTRAL	ANCHO		FONDO 1400				FONDO 1800				FONDO 2200				FONDO 2500	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	4	CEPRIC1214	2.221,14 €			CEPRIC1218	2.273,93 €			CEPRIC1222	2.666,86 €			CEPRIC1225	2.790,53 €
	1500	6	CEPRIC1514	2.605,76 €			CEPRIC1518	2.728,48 €			CEPRIC1522	3.160,80 €			CEPRIC1525	3.303,65 €
	1700	6	CEPRIC1714	2.806,65 €			CEPRIC1718	2.830,48 €			CEPRIC1722	3.435,64 €			CEPRIC1725	3.598,23 €
	2000	8	CEPRIC2014	3.208,02 €			CEPRIC2018	3.421,98 €			CEPRIC2022	3.869,27 €			CEPRIC2025	4.093,20 €
	2200	8	CEPRIC2214	3.309,93 €			CEPRIC2218	3.515,77 €			CEPRIC2222	3.991,43 €			CEPRIC2225	4.187,08 €
	2400	8	CEPRIC2414	4.083,32 €			CEPRIC2418	4.280,37 €			CEPRIC2422	4.818,75 €			CEPRIC2425	5.052,41 €
	2500	10	CEPRIC2514	3.724,94 €			CEPRIC2518	3.950,18 €			CEPRIC2522	4.479,85 €			CEPRIC2525	4.729,55 €
	2700	10	CEPRIC2714	4.467,93 €			CEPRIC2718	4.734,92 €			CEPRIC2722	5.312,69 €			CEPRIC2725	5.565,53 €
	2900	10	CEPRIC2914	4.668,83 €			CEPRIC2918	4.836,92 €			CEPRIC2922	5.587,53 €			CEPRIC2925	5.860,12 €
	3000	12	CEPRIC3014	4.852,55 €			CEPRIC3018	5.189,47 €			CEPRIC3022	5.806,63 €			CEPRIC3025	6.078,65 €
	3200	12	CEPRIC3214	5.053,45 €			CEPRIC3218	5.291,47 €			CEPRIC3222	6.081,47 €			CEPRIC3225	6.373,23 €
	3400	12	CEPRIC3414	5.254,34 €			CEPRIC3418	5.393,47 €			CEPRIC3422	6.356,32 €			CEPRIC3425	6.667,82 €
	3500	14	CEPRIC3514	5.454,81 €			CEPRIC3518	5.882,98 €			CEPRIC3522	6.515,10 €			CEPRIC3525	6.868,20 €
	3600	12	CEPRIC3614	5.945,49 €			CEPRIC3618	6.286,81 €			CEPRIC3622	6.970,64 €			CEPRIC3625	7.314,30 €
	3700	14	CEPRIC3714	5.655,70 €			CEPRIC3718	5.984,97 €			CEPRIC3722	6.789,94 €			CEPRIC3725	7.162,78 €
	3900	14	CEPRIC3914	5.757,62 €			CEPRIC3918	6.078,76 €			CEPRIC3922	6.912,11 €			CEPRIC3925	7.256,67 €
	4000	16	CEPRIC4014	6.057,07 €			CEPRIC4018	6.576,48 €			CEPRIC4022	7.223,57 €			CEPRIC4025	7.657,75 €
	4200	16	CEPRIC4214	6.158,98 €			CEPRIC4218	6.670,26 €			CEPRIC4222	7.345,73 €			CEPRIC4225	7.751,64 €
	4400	16	CEPRIC4414	6.260,90 €			CEPRIC4418	6.764,05 €			CEPRIC4422	7.467,90 €			CEPRIC4425	7.845,52 €
	4500	18	CEPRIC4514	6.573,99 €			CEPRIC4518	7.104,67 €			CEPRIC4522	7.834,15 €			CEPRIC4525	8.294,10 €
	4600	16	CEPRIC4614	7.116,52 €			CEPRIC4618	7.399,91 €			CEPRIC4622	8.508,21 €			CEPRIC4625	8.929,70 €
	4700	18	CEPRIC4714	6.675,91 €			CEPRIC4718	7.198,46 €			CEPRIC4722	7.956,31 €			CEPRIC4725	8.387,99 €
	4900	18	CEPRIC4914	7.501,14 €			CEPRIC4918	7.854,46 €			CEPRIC4922	9.002,15 €			CEPRIC4925	9.442,82 €
	5000	20	CEPRIC5014	7.090,92 €			CEPRIC5018	7.632,87 €			CEPRIC5022	8.444,73 €			CEPRIC5025	8.930,46 €
	5100	18	CEPRIC5114	7.702,03 €			CEPRIC5118	7.956,46 €			CEPRIC5122	9.276,99 €			CEPRIC5125	9.737,41 €
